Country,Value,Date,%Growth
THAILAND,610.37,2018-11-01,34.82
VIETNAM SOC REP,477.61,2018-11-01,114.24
BRUNEI,80.36,2018-12-01,19.96
CAMBODIA,4.57,2018-12-01,55.87
INDONESIA,"1,191.98",2018-12-01,-18.49
LAO PD RP,1.02,2018-12-01,-94.33
MALAYSIA,756.50,2018-12-01,17.48
MYANMAR,16.68,2018-12-01,-64.16
PHILIPPINES,57.64,2018-12-01,92.51
SINGAPORE,592.76,2018-12-01,-16.77
THAILAND,610.37,2018-12-01,34.82
VIETNAM SOC REP,477.61,2018-12-01,114.24
BRUNEI,43.38,2019-01-01,-46.01
CAMBODIA,2.82,2019-01-01,-38.32
INDONESIA,"1,123.40",2019-01-01,-5.75
LAO PD RP,0.01,2019-01-01,-98.60
MALAYSIA,757.81,2019-01-01,0.17
MYANMAR,18.98,2019-01-01,13.79
PHILIPPINES,41.50,2019-01-01,-28.00
SINGAPORE,"1,350.82",2019-01-01,127.89
THAILAND,537.94,2019-01-01,-11.87
VIETNAM SOC REP,507.34,2019-01-01,6.22
BRUNEI,43.38,2019-02-01,-46.01
CAMBODIA,2.82,2019-02-01,-38.32
INDONESIA,"1,123.40",2019-02-01,-5.75
LAO PD RP,0.01,2019-02-01,-98.60
MALAYSIA,757.81,2019-02-01,0.17
MYANMAR,18.98,2019-02-01,13.79
PHILIPPINES,41.50,2019-02-01,-28.00
SINGAPORE,"1,350.82",2019-02-01,127.89
THAILAND,537.94,2019-02-01,-11.87
VIETNAM SOC REP,507.34,2019-02-01,6.22
BRUNEI,43.38,2019-03-01,-46.01
CAMBODIA,2.82,2019-03-01,-38.32
INDONESIA,"1,123.40",2019-03-01,-5.75
LAO PD RP,0.01,2019-03-01,-98.60
MALAYSIA,757.81,2019-03-01,0.17
MYANMAR,18.98,2019-03-01,13.79
PHILIPPINES,41.50,2019-03-01,-28.00
SINGAPORE,"1,350.82",2019-03-01,127.89
THAILAND,537.94,2019-03-01,-11.87
VIETNAM SOC REP,507.34,2019-03-01,6.22
BRUNEI,43.38,2019-04-01,-46.01
CAMBODIA,2.82,2019-04-01,-38.32
INDONESIA,"1,123.40",2019-04-01,-5.75
LAO PD RP,0.01,2019-04-01,-98.60
MALAYSIA,757.81,2019-04-01,0.17
MYANMAR,18.98,2019-04-01,13.79
PHILIPPINES,41.50,2019-04-01,-28.00
SINGAPORE,"1,350.82",2019-04-01,127.89
THAILAND,537.94,2019-04-01,-11.87
VIETNAM SOC REP,507.34,2019-04-01,6.22
BRUNEI,43.38,2019-05-01,-46.01
CAMBODIA,2.82,2019-05-01,-38.32
INDONESIA,"1,123.40",2019-05-01,-5.75
LAO PD RP,0.01,2019-05-01,-98.60
MALAYSIA,757.81,2019-05-01,0.17
MYANMAR,18.98,2019-05-01,13.79
PHILIPPINES,41.50,2019-05-01,-28.00
SINGAPORE,"1,350.82",2019-05-01,127.89
THAILAND,537.94,2019-05-01,-11.87
VIETNAM SOC REP,507.34,2019-05-01,6.22
BRUNEI,43.38,2019-06-01,-46.01
CAMBODIA,2.82,2019-06-01,-38.32
INDONESIA,"1,123.40",2019-06-01,-5.75
LAO PD RP,0.01,2019-06-01,-98.60
MALAYSIA,757.81,2019-06-01,0.17
MYANMAR,18.98,2019-06-01,13.79
PHILIPPINES,41.50,2019-06-01,-28.00
SINGAPORE,"1,350.82",2019-06-01,127.89
THAILAND,537.94,2019-06-01,-11.87
VIETNAM SOC REP,507.34,2019-06-01,6.22
BRUNEI,43.38,2019-07-01,-46.01
CAMBODIA,2.82,2019-07-01,-38.32
INDONESIA,"1,123.40",2019-07-01,-5.75
LAO PD RP,0.01,2019-07-01,-98.60
MALAYSIA,757.81,2019-07-01,0.17
MYANMAR,18.98,2019-07-01,13.79
PHILIPPINES,41.50,2019-07-01,-28.00
SINGAPORE,"1,350.82",2019-07-01,127.89
THAILAND,537.94,2019-07-01,-11.87
VIETNAM SOC REP,507.34,2019-07-01,6.22
BRUNEI,43.38,2019-08-01,-46.01
CAMBODIA,2.82,2019-08-01,-38.32
INDONESIA,"1,123.40",2019-08-01,-5.75
LAO PD RP,0.01,2019-08-01,-98.60
MALAYSIA,757.81,2019-08-01,0.17
MYANMAR,18.98,2019-08-01,13.79
PHILIPPINES,41.50,2019-08-01,-28.00
SINGAPORE,"1,350.82",2019-08-01,127.89
THAILAND,537.94,2019-08-01,-11.87
VIETNAM SOC REP,507.34,2019-08-01,6.22
BRUNEI,43.38,2019-09-01,-46.01
CAMBODIA,2.82,2019-09-01,-38.32
INDONESIA,"1,123.40",2019-09-01,-5.75
LAO PD RP,0.01,2019-09-01,-98.60
MALAYSIA,757.81,2019-09-01,0.17
MYANMAR,18.98,2019-09-01,13.79
PHILIPPINES,41.50,2019-09-01,-28.00
SINGAPORE,"1,350.82",2019-09-01,127.89
THAILAND,537.94,2019-09-01,-11.87
VIETNAM SOC REP,507.34,2019-09-01,6.22
BRUNEI,43.38,2019-10-01,-46.01
CAMBODIA,2.82,2019-10-01,-38.32
INDONESIA,"1,123.40",2019-10-01,-5.75
LAO PD RP,0.01,2019-10-01,-98.60
MALAYSIA,757.81,2019-10-01,0.17
MYANMAR,18.98,2019-10-01,13.79
PHILIPPINES,41.50,2019-10-01,-28.00
SINGAPORE,"1,350.82",2019-10-01,127.89
THAILAND,537.94,2019-10-01,-11.87
VIETNAM SOC REP,507.34,2019-10-01,6.22
BRUNEI,43.38,2019-11-01,-46.01
CAMBODIA,2.82,2019-11-01,-38.32
INDONESIA,"1,123.40",2019-11-01,-5.75
LAO PD RP,0.01,2019-11-01,-98.60
MALAYSIA,757.81,2019-11-01,0.17
MYANMAR,18.98,2019-11-01,13.79
PHILIPPINES,41.50,2019-11-01,-28.00
SINGAPORE,"1,350.82",2019-11-01,127.89
THAILAND,537.94,2019-11-01,-11.87
VIETNAM SOC REP,507.34,2019-11-01,6.22
BRUNEI,43.38,2019-12-01,-46.01
CAMBODIA,2.82,2019-12-01,-38.32
INDONESIA,"1,123.40",2019-12-01,-5.75
LAO PD RP,0.01,2019-12-01,-98.60
MALAYSIA,757.81,2019-12-01,0.17
MYANMAR,18.98,2019-12-01,13.79
PHILIPPINES,41.50,2019-12-01,-28.00
SINGAPORE,"1,350.82",2019-12-01,127.89
THAILAND,537.94,2019-12-01,-11.87
VIETNAM SOC REP,507.34,2019-12-01,6.22
BRUNEI,41.58,2020-01-01,-4.15
CAMBODIA,4.07,2020-01-01,44.33
INDONESIA,"1,426.28",2020-01-01,26.96
LAO PD RP,0.19,2020-01-01,"1,240.85"
MALAYSIA,813.23,2020-01-01,7.31
MYANMAR,58.01,2020-01-01,205.73
PHILIPPINES,33.53,2020-01-01,-19.22
SINGAPORE,"1,583.17",2020-01-01,17.20
THAILAND,545.07,2020-01-01,1.33
VIETNAM SOC REP,534.65,2020-01-01,5.38
BRUNEI,41.58,2020-02-01,-4.15
CAMBODIA,4.07,2020-02-01,44.33
INDONESIA,"1,426.28",2020-02-01,26.96
LAO PD RP,0.19,2020-02-01,"1,240.85"
MALAYSIA,813.23,2020-02-01,7.31
MYANMAR,58.01,2020-02-01,205.73
PHILIPPINES,33.53,2020-02-01,-19.22
SINGAPORE,"1,583.17",2020-02-01,17.20
THAILAND,545.07,2020-02-01,1.33
VIETNAM SOC REP,534.65,2020-02-01,5.38
BRUNEI,41.58,2020-03-01,-4.15
CAMBODIA,4.07,2020-03-01,44.33
INDONESIA,"1,426.28",2020-03-01,26.96
LAO PD RP,0.19,2020-03-01,"1,240.85"
MALAYSIA,813.23,2020-03-01,7.31
MYANMAR,58.01,2020-03-01,205.73
PHILIPPINES,33.53,2020-03-01,-19.22
SINGAPORE,"1,583.17",2020-03-01,17.20
THAILAND,545.07,2020-03-01,1.33
VIETNAM SOC REP,534.65,2020-03-01,5.38
BRUNEI,41.58,2020-04-01,-4.15
CAMBODIA,4.07,2020-04-01,44.33
INDONESIA,"1,426.28",2020-04-01,26.96
LAO PD RP,0.19,2020-04-01,"1,240.85"
MALAYSIA,813.23,2020-04-01,7.31
MYANMAR,58.01,2020-04-01,205.73
PHILIPPINES,33.53,2020-04-01,-19.22
SINGAPORE,"1,583.17",2020-04-01,17.20
THAILAND,545.07,2020-04-01,1.33
VIETNAM SOC REP,534.65,2020-04-01,5.38
BRUNEI,41.58,2020-05-01,-4.15
CAMBODIA,4.07,2020-05-01,44.33
INDONESIA,"1,426.28",2020-05-01,26.96
LAO PD RP,0.19,2020-05-01,"1,240.85"
MALAYSIA,813.23,2020-05-01,7.31
MYANMAR,58.01,2020-05-01,205.73
PHILIPPINES,33.53,2020-05-01,-19.22
SINGAPORE,"1,583.17",2020-05-01,17.20
THAILAND,545.07,2020-05-01,1.33
VIETNAM SOC REP,534.65,2020-05-01,5.38
BRUNEI,41.58,2020-06-01,-4.15
CAMBODIA,4.07,2020-06-01,44.33
INDONESIA,"1,426.28",2020-06-01,26.96
LAO PD RP,0.19,2020-06-01,"1,240.85"
MALAYSIA,813.23,2020-06-01,7.31
MYANMAR,58.01,2020-06-01,205.73
PHILIPPINES,33.53,2020-06-01,-19.22
SINGAPORE,"1,583.17",2020-06-01,17.20
THAILAND,545.07,2020-06-01,1.33
VIETNAM SOC REP,534.65,2020-06-01,5.38
BRUNEI,41.58,2020-07-01,-4.15
CAMBODIA,4.07,2020-07-01,44.33
INDONESIA,"1,426.28",2020-07-01,26.96
LAO PD RP,0.19,2020-07-01,"1,240.85"
MALAYSIA,813.23,2020-07-01,7.31
MYANMAR,58.01,2020-07-01,205.73
PHILIPPINES,33.53,2020-07-01,-19.22
SINGAPORE,"1,583.17",2020-07-01,17.20
THAILAND,545.07,2020-07-01,1.33
VIETNAM SOC REP,534.65,2020-07-01,5.38
BRUNEI,41.58,2020-08-01,-4.15
CAMBODIA,4.07,2020-08-01,44.33
INDONESIA,"1,426.28",2020-08-01,26.96
LAO PD RP,0.19,2020-08-01,"1,240.85"
MALAYSIA,813.23,2020-08-01,7.31
MYANMAR,58.01,2020-08-01,205.73
PHILIPPINES,33.53,2020-08-01,-19.22
SINGAPORE,"1,583.17",2020-08-01,17.20
THAILAND,545.07,2020-08-01,1.33
VIETNAM SOC REP,534.65,2020-08-01,5.38
BRUNEI,41.58,2020-09-01,-4.15
CAMBODIA,4.07,2020-09-01,44.33
INDONESIA,"1,426.28",2020-09-01,26.96
LAO PD RP,0.19,2020-09-01,"1,240.85"
MALAYSIA,813.23,2020-09-01,7.31
MYANMAR,58.01,2020-09-01,205.73
PHILIPPINES,33.53,2020-09-01,-19.22
SINGAPORE,"1,583.17",2020-09-01,17.20
THAILAND,545.07,2020-09-01,1.33
VIETNAM SOC REP,534.65,2020-09-01,5.38
BRUNEI,41.58,2020-10-01,-4.15
CAMBODIA,4.07,2020-10-01,44.33
INDONESIA,"1,426.28",2020-10-01,26.96
LAO PD RP,0.19,2020-10-01,"1,240.85"
MALAYSIA,813.23,2020-10-01,7.31
MYANMAR,58.01,2020-10-01,205.73
PHILIPPINES,33.53,2020-10-01,-19.22
SINGAPORE,"1,583.17",2020-10-01,17.20
THAILAND,545.07,2020-10-01,1.33
VIETNAM SOC REP,534.65,2020-10-01,5.38
BRUNEI,41.58,2020-11-01,-4.15
CAMBODIA,4.07,2020-11-01,44.33
INDONESIA,"1,426.28",2020-11-01,26.96
LAO PD RP,0.19,2020-11-01,"1,240.85"
MALAYSIA,813.23,2020-11-01,7.31
MYANMAR,58.01,2020-11-01,205.73
PHILIPPINES,33.53,2020-11-01,-19.22
SINGAPORE,"1,583.17",2020-11-01,17.20
THAILAND,545.07,2020-11-01,1.33
VIETNAM SOC REP,534.65,2020-11-01,5.38
BRUNEI,41.58,2020-12-01,-4.15
CAMBODIA,4.07,2020-12-01,44.33
INDONESIA,"1,426.28",2020-12-01,26.96
LAO PD RP,0.19,2020-12-01,"1,240.85"
MALAYSIA,813.23,2020-12-01,7.31
MYANMAR,58.01,2020-12-01,205.73
PHILIPPINES,33.53,2020-12-01,-19.22
SINGAPORE,"1,583.17",2020-12-01,17.20
THAILAND,545.07,2020-12-01,1.33
VIETNAM SOC REP,534.65,2020-12-01,5.38
